,task,step,participant_id,created_at,acceptable,reasoning,take,fpv_filepath,fpv_circle_filepath,fpv_attention_filepath,tpv_filepath,instructions,question,correct_answer,gemini_answer,gemini_acceptable,ablation_setting,qa_id
217,Einfädeln Oberspule,Einfädeln der Nadel,0,2024-06-17T20:41:48.652634+00:00,,"['KNOWLEDGE', 'SPATIAL', 'TEMPORAL']",0,fpv_out/participant-0-Einfaedeln Oberspule-Einfaedeln der Nadel-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Oberspule-Einfaedeln der Nadel-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Oberspule-Einfaedeln der Nadel-take-0.mp4,tpv_out/participant-0-Einfaedeln Oberspule-Einfaedeln der Nadel-take-0.mp4,"
    - Den Nähfuß mit dem entsprechenden Hebel anheben, um Fadenspannung zu lösen.
    - Das Ende des Oberfadens mit einer Schere gerade abschneiden, um das Einfädeln zu erleichtern.
    - Den Oberfaden von vorne nach hinten durch das Nadelöhr führen.
    - Ein Stück des Oberfadens durch das Nadelöhr zur linken Seite ziehen.

",Wie kann ich einfach den Faden in die Nadel fädeln?,Zuerst wird der Fuß angehoben und dann der Oberfaden von hinten nach vorne in die Nadel eingefädelt. Man muss den Faden durch das Nadelöhr lang ziehen und nach links ziehen.,"Um den Faden in die Nadel einzufädeln wird der Faden durch den Fadenhebel, dann durch die Fadenführung und schließlich durch das Nadelöhr geführt. 
",0,naive baseline,107
218,Einfädeln Oberspule,Einfädeln der Nadel,0,2024-06-17T20:41:48.652634+00:00,,"['KNOWLEDGE', 'SPATIAL', 'TEMPORAL']",0,fpv_out/participant-0-Einfaedeln Oberspule-Einfaedeln der Nadel-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Oberspule-Einfaedeln der Nadel-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Oberspule-Einfaedeln der Nadel-take-0.mp4,tpv_out/participant-0-Einfaedeln Oberspule-Einfaedeln der Nadel-take-0.mp4,"
    - Den Nähfuß mit dem entsprechenden Hebel anheben, um Fadenspannung zu lösen.
    - Das Ende des Oberfadens mit einer Schere gerade abschneiden, um das Einfädeln zu erleichtern.
    - Den Oberfaden von vorne nach hinten durch das Nadelöhr führen.
    - Ein Stück des Oberfadens durch das Nadelöhr zur linken Seite ziehen.

",Wie kann ich einfach den Faden in die Nadel fädeln?,Zuerst wird der Fuß angehoben und dann der Oberfaden von hinten nach vorne in die Nadel eingefädelt. Man muss den Faden durch das Nadelöhr lang ziehen und nach links ziehen.,"Um den Faden in die Nadel einzufädeln, wird der Nähfuß angehoben, der Faden durch die Fadenführung und anschließend von vorne nach hinten durch das Nadelöhr geführt. 
",1,naive baseline,107
219,Elastische Stoffe (Falsch),Nähen,0,2024-06-17T20:45:57.858673+00:00,,"['KNOWLEDGE', 'TEMPORAL']",1,fpv_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Naehen-take-1.mp4,"
    - Durch Betätigen des Fußpedals mit dem Nähen beginnen.
    - Auf Vernähen des Nahtbeginns verzichten.
    - Die Naht bis zum gewünschten Ende vorwärts nähen.

",Welche Schritte muss man nehmen um elastischen Stoff zu nähen?,"Zuerst muss man das Fußpedal betätigen um mit dem Nähen anzufangen, der Nahtbeginn muss nicht vernäht werden. Dann wird die Naht bis zum Ende genäht.","Um elastische Stoffe zu nähen, wird eine Jerseynadel und ein Zickzack-Stich verwendet. 
",0,naive baseline,110
220,Aufspulen,Spulvorgang starten,0,2024-06-17T20:50:01.328116+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,fpv_circle_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,fpv_attention_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,tpv_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,"
    - Den Spulenwickelstift der Unterspule nach rechts drücken, um den Spulvorgang zu aktivieren.
    - (Je nach Maschine möglicherweise Betätigung eines zusätzlichen Hebels notwendig.)
    - Das Fußpedal betätigen, um den Faden aufzuspulen.

",Wie lässt sich der Spulvorgang aktivieren?,In dem man den Spulenwickelstift nach rechts drückt.,"Um den Spulvorgang zu aktivieren, wird der Spuler durch Bewegen des Spulerstiftes nach rechts aktiviert. 
",1,naive baseline,111
221,Aufspulen,Spulvorgang starten,0,2024-06-17T20:50:01.328116+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,fpv_circle_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,fpv_attention_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,tpv_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,"
    - Den Spulenwickelstift der Unterspule nach rechts drücken, um den Spulvorgang zu aktivieren.
    - (Je nach Maschine möglicherweise Betätigung eines zusätzlichen Hebels notwendig.)
    - Das Fußpedal betätigen, um den Faden aufzuspulen.

",Wie lässt sich der Spulvorgang aktivieren?,In dem man den Spulenwickelstift nach rechts drückt.,"Um den Spulvorgang zu aktivieren, wird der Spuler durch Verschieben oder Umlegen des Spulerstiftes aktiviert. 
",0,naive baseline,111
222,Aufspulen,Spulvorgang starten,0,2024-06-17T20:50:01.328116+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,fpv_circle_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,fpv_attention_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,tpv_out/participant-0-Aufspulen-Spulvorgang starten-take-0.mp4,"
    - Den Spulenwickelstift der Unterspule nach rechts drücken, um den Spulvorgang zu aktivieren.
    - (Je nach Maschine möglicherweise Betätigung eines zusätzlichen Hebels notwendig.)
    - Das Fußpedal betätigen, um den Faden aufzuspulen.

",Wie lässt sich der Spulvorgang aktivieren?,In dem man den Spulenwickelstift nach rechts drückt.,"Um den Spulvorgang zu aktivieren, wird der Nadelantrieb ausgekuppelt. 
",0,naive baseline,111
223,Einfädeln Oberspule,Abschluss des Einfädelns,0,2024-06-17T20:53:45.302746+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,tpv_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,"- Den Oberfaden in der linken Hand festhalten, gleichzeitig mit der rechten Hand das Handrad eine volle Umdrehung in Richtung des Nutzers drehen, um den Unterfaden nach oben zu holen.
    - Mit einem flachen Werkzeug (z.B. Schere) von rechts nach links unter dem Nähfuß durchfahren, sodass Ober- und Unterfaden unter dem Nähfuß liegen.
    - Länge von Ober- und Unterfaden mit Schere auf ca. 15 cm angleichen.
    - Beide Fäden nach hinten unter dem Nähfuß durchführen.",Auf welche Länge sollten Ober- und Unterfaden angeglichen werden?,15 cm.,"Ober- und Unterfaden sollten immer auf die gleiche Länge eingestellt sein. 
",0,naive baseline,114
224,Einfädeln Oberspule,Abschluss des Einfädelns,0,2024-06-17T20:53:45.302746+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,tpv_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,"- Den Oberfaden in der linken Hand festhalten, gleichzeitig mit der rechten Hand das Handrad eine volle Umdrehung in Richtung des Nutzers drehen, um den Unterfaden nach oben zu holen.
    - Mit einem flachen Werkzeug (z.B. Schere) von rechts nach links unter dem Nähfuß durchfahren, sodass Ober- und Unterfaden unter dem Nähfuß liegen.
    - Länge von Ober- und Unterfaden mit Schere auf ca. 15 cm angleichen.
    - Beide Fäden nach hinten unter dem Nähfuß durchführen.",Auf welche Länge sollten Ober- und Unterfaden angeglichen werden?,15 cm.,"Ober- und Unterfaden sollten immer auf die gleiche Länge angeglichen werden. 
",0,naive baseline,114
225,Einfädeln Oberspule,Abschluss des Einfädelns,0,2024-06-17T20:53:45.302746+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,tpv_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,"- Den Oberfaden in der linken Hand festhalten, gleichzeitig mit der rechten Hand das Handrad eine volle Umdrehung in Richtung des Nutzers drehen, um den Unterfaden nach oben zu holen.
    - Mit einem flachen Werkzeug (z.B. Schere) von rechts nach links unter dem Nähfuß durchfahren, sodass Ober- und Unterfaden unter dem Nähfuß liegen.
    - Länge von Ober- und Unterfaden mit Schere auf ca. 15 cm angleichen.
    - Beide Fäden nach hinten unter dem Nähfuß durchführen.",Auf welche Länge sollten Ober- und Unterfaden angeglichen werden?,15 cm.,"Ober- und Unterfaden sollten immer auf die gleiche Länge angeglichen werden. 
",0,naive baseline,114
226,Einfädeln Oberspule,Abschluss des Einfädelns,0,2024-06-17T20:54:39.478192+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,tpv_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,"- Den Oberfaden in der linken Hand festhalten, gleichzeitig mit der rechten Hand das Handrad eine volle Umdrehung in Richtung des Nutzers drehen, um den Unterfaden nach oben zu holen.
    - Mit einem flachen Werkzeug (z.B. Schere) von rechts nach links unter dem Nähfuß durchfahren, sodass Ober- und Unterfaden unter dem Nähfuß liegen.
    - Länge von Ober- und Unterfaden mit Schere auf ca. 15 cm angleichen.
    - Beide Fäden nach hinten unter dem Nähfuß durchführen.",Was soll man mit dem Handrad machen?,Mit der rechten Hand in Richtung des Benutzers eine volle Umdrehung drehen.,"Um den Stoff zu transportieren wird das Handrad verwendet. 
",1,naive baseline,115
227,Einfädeln Oberspule,Abschluss des Einfädelns,0,2024-06-17T20:54:39.478192+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,tpv_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,"- Den Oberfaden in der linken Hand festhalten, gleichzeitig mit der rechten Hand das Handrad eine volle Umdrehung in Richtung des Nutzers drehen, um den Unterfaden nach oben zu holen.
    - Mit einem flachen Werkzeug (z.B. Schere) von rechts nach links unter dem Nähfuß durchfahren, sodass Ober- und Unterfaden unter dem Nähfuß liegen.
    - Länge von Ober- und Unterfaden mit Schere auf ca. 15 cm angleichen.
    - Beide Fäden nach hinten unter dem Nähfuß durchführen.",Was soll man mit dem Handrad machen?,Mit der rechten Hand in Richtung des Benutzers eine volle Umdrehung drehen.,"Um die Nadel manuell zu bewegen, wird das Handrad zu dir gedreht. 
",1,naive baseline,115
228,Einfädeln Oberspule,Abschluss des Einfädelns,0,2024-06-17T20:54:39.478192+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,tpv_out/participant-0-Einfaedeln Oberspule-Abschluss des Einfaedelns-take-0.mp4,"- Den Oberfaden in der linken Hand festhalten, gleichzeitig mit der rechten Hand das Handrad eine volle Umdrehung in Richtung des Nutzers drehen, um den Unterfaden nach oben zu holen.
    - Mit einem flachen Werkzeug (z.B. Schere) von rechts nach links unter dem Nähfuß durchfahren, sodass Ober- und Unterfaden unter dem Nähfuß liegen.
    - Länge von Ober- und Unterfaden mit Schere auf ca. 15 cm angleichen.
    - Beide Fäden nach hinten unter dem Nähfuß durchführen.",Was soll man mit dem Handrad machen?,Mit der rechten Hand in Richtung des Benutzers eine volle Umdrehung drehen.,"Um die Nadel manuell zu bewegen, wird das Handrad zu dir gedreht. 
",1,naive baseline,115
229,Elastische Stoffe (Falsch),Vorbereitung (1),0,2024-06-17T21:12:51.840078+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Den Startpunkt der Naht unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.

",Was soll mit dem Handrad geschehen?,"Es soll in Richtung des Nutzers gedreht werden, um die Nadel manuell einzustechen.","Um die Nadelposition zu ändern, wird das Handrad zu dir gedreht. 
",1,naive baseline,123
230,Elastische Stoffe (Falsch),Vorbereitung (1),0,2024-06-17T21:12:51.840078+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Den Startpunkt der Naht unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.

",Was soll mit dem Handrad geschehen?,"Es soll in Richtung des Nutzers gedreht werden, um die Nadel manuell einzustechen.","Das Handrad sollte zu dir gedreht werden. 
",1,naive baseline,123
231,Elastische Stoffe (Falsch),Vorbereitung (1),0,2024-06-17T21:12:51.840078+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Den Startpunkt der Naht unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.

",Was soll mit dem Handrad geschehen?,"Es soll in Richtung des Nutzers gedreht werden, um die Nadel manuell einzustechen.","Um die Nadel zu positionieren, wird das Handrad zu dir gedreht. 
",1,naive baseline,123
232,Elastische Stoffe (Falsch),Vorbereitung (1),0,2024-06-17T21:16:11.755574+00:00,,"['KNOWLEDGE', 'TEMPORAL']",0,fpv_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Den Startpunkt der Naht unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.

",Was soll am Anfang mit dem Nähfuß passieren?,Er soll mit dem Nähfußhebel angehoben werden.,"Um mit dem Nähen zu beginnen, sollte der Nähfuß abgesenkt werden. 
",0,naive baseline,124
233,Elastische Stoffe (Falsch),Vorbereitung (1),0,2024-06-17T21:16:11.755574+00:00,,"['KNOWLEDGE', 'TEMPORAL']",0,fpv_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Den Startpunkt der Naht unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.

",Was soll am Anfang mit dem Nähfuß passieren?,Er soll mit dem Nähfußhebel angehoben werden.,"Um mit dem Nähen zu beginnen, sollte der Nähfuß abgesenkt werden. 
",0,naive baseline,124
234,Elastische Stoffe (Falsch),Vorbereitung (1),0,2024-06-17T21:16:11.755574+00:00,,"['KNOWLEDGE', 'TEMPORAL']",0,fpv_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Den Startpunkt der Naht unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.

",Was soll am Anfang mit dem Nähfuß passieren?,Er soll mit dem Nähfußhebel angehoben werden.,"Um mit dem Nähen zu beginnen, wird der Nähfuß abgesenkt. 
",0,naive baseline,124
235,Elastische Stoffe (Falsch),Vorbereitung (1),0,2024-06-17T21:17:19.968917+00:00,,['TEMPORAL'],0,fpv_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Den Startpunkt der Naht unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.

",Was muss passieren bevor der Nähfuß abgesenkt wird?,Es gilt den Naht-Startpunkt unter der Nadel auszurichten.,"Um den Nähfuß abzusenken, muss der Nähfußhebel betätigt werden. 
",0,naive baseline,125
236,Elastische Stoffe (Falsch),Vorbereitung (1),0,2024-06-17T21:17:19.968917+00:00,,['TEMPORAL'],0,fpv_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Den Startpunkt der Naht unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.

",Was muss passieren bevor der Nähfuß abgesenkt wird?,Es gilt den Naht-Startpunkt unter der Nadel auszurichten.,"Um den Nähfuß abzusenken, muss der Nähfußhebel betätigt werden. 
",0,naive baseline,125
237,Elastische Stoffe (Falsch),Vorbereitung (1),0,2024-06-17T21:17:19.968917+00:00,,['TEMPORAL'],0,fpv_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,tpv_out/participant-0-Elastische Stoffe (Falsch)-Vorbereitung (1)-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Den Startpunkt der Naht unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.

",Was muss passieren bevor der Nähfuß abgesenkt wird?,Es gilt den Naht-Startpunkt unter der Nadel auszurichten.,"Um den Nähfuß abzusenken, muss der Nähfußheber abgesenkt werden. 
",0,naive baseline,125
238,Geradeausstich,Vorbereitung,0,2024-06-17T21:32:14.294864+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,tpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,"- Den Nähfuß mithilfe des Nähfußhebels anheben.
    - Bei angehobenem Nähfuß den rechten Rand des Probe-Stoffstücks für eine Nahtzugabe von 7,5 mm an der rechten Seite des Nähfußes ausrichten.
    - Den Nahtbeginn unter der Nadel platzieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",In welche Richtung muss die Näherin das Handrad vor Beginn des Nähens drehen?,"Zu sich her, im Gegenuhrzeigersinn.","Um mit dem Nähen zu beginnen, muss das Handrad **zu sich hin** gedreht werden. 
",0,naive baseline,129
239,Geradeausstich,Vorbereitung,0,2024-06-17T21:32:14.294864+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,tpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,"- Den Nähfuß mithilfe des Nähfußhebels anheben.
    - Bei angehobenem Nähfuß den rechten Rand des Probe-Stoffstücks für eine Nahtzugabe von 7,5 mm an der rechten Seite des Nähfußes ausrichten.
    - Den Nahtbeginn unter der Nadel platzieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",In welche Richtung muss die Näherin das Handrad vor Beginn des Nähens drehen?,"Zu sich her, im Gegenuhrzeigersinn.","Um die Nadel zu senken, wird das Handrad **zu sich heran** gedreht. 
",0,naive baseline,129
240,Geradeausstich,Vorbereitung,0,2024-06-17T21:32:14.294864+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,tpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,"- Den Nähfuß mithilfe des Nähfußhebels anheben.
    - Bei angehobenem Nähfuß den rechten Rand des Probe-Stoffstücks für eine Nahtzugabe von 7,5 mm an der rechten Seite des Nähfußes ausrichten.
    - Den Nahtbeginn unter der Nadel platzieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",In welche Richtung muss die Näherin das Handrad vor Beginn des Nähens drehen?,"Zu sich her, im Gegenuhrzeigersinn.","Um die Nähmaschine vor Beginn des Nähens vorzubereiten, muss das Handrad zu sich herangedreht werden. 
",0,naive baseline,129
241,Geradeausstich,Vorbereitung,0,2024-06-17T21:35:23.313996+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,tpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,"- Den Nähfuß mithilfe des Nähfußhebels anheben.
    - Bei angehobenem Nähfuß den rechten Rand des Probe-Stoffstücks für eine Nahtzugabe von 7,5 mm an der rechten Seite des Nähfußes ausrichten.
    - Den Nahtbeginn unter der Nadel platzieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",Welcher Rand ergibt sich bei einer Ausrichtung des Probestückes für den Geradeausstich an der Rechten Seite des Nähfußes?,"Eine Breite von 7,5mm","Um einen 1 cm breiten Saum zu erhalten, wird der Stoffrand an der 1 cm-Markierung des Nähfußes ausgerichtet.",0,naive baseline,131
242,Geradeausstich,Vorbereitung,0,2024-06-17T21:35:23.313996+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,tpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,"- Den Nähfuß mithilfe des Nähfußhebels anheben.
    - Bei angehobenem Nähfuß den rechten Rand des Probe-Stoffstücks für eine Nahtzugabe von 7,5 mm an der rechten Seite des Nähfußes ausrichten.
    - Den Nahtbeginn unter der Nadel platzieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",Welcher Rand ergibt sich bei einer Ausrichtung des Probestückes für den Geradeausstich an der Rechten Seite des Nähfußes?,"Eine Breite von 7,5mm","Um einen 1 cm breiten Saum zu erhalten, wird das Probestück so ausgerichtet, dass die Stoffkante rechts neben dem Nähfuß entlangläuft, wobei der Abstand zwischen Nadel und Stoffkante 1 cm beträgt.",0,naive baseline,131
