,question,correct_answer,task,step,participant_id,created_at,acceptable,reasoning,qa_id
97,Wie kann ich den Faden richtig in die Nähmaschine einführen?,Den Oberfaden festhalten und dabei das Handrag in die Richtung des Nutzers drehen. Dadurch wird der Unterfaden nach oben geholt. Mit einer Schere den Ober und Unterfaden auf 15 cm angleichen und danach beide Fäden nach hinten ziehen.,Einfädeln Oberspule,Abschluss des Einfädelns:,5b21646bdf28a7000166f4dc,2024-06-17T20:25:52.055250+00:00,True,['KNOWLEDGE'],98
98,Was kann beim Nähen mit elastischen Stoffen schief gehen?,"Der Stoff kann in die Maschine eingezogen werden, auch der Rückwärtsknopf kann dann nicht mehr helfen.",Elastische Stoffe (Falsch),Vernähen:,5b21646bdf28a7000166f4dc,2024-06-17T20:27:08.224238+00:00,False,,99
99,Wie kann das Nähen von elatischen Stoffen schief gehen?,Wenn man mit dem Nähen beginnt und ausversehen anhält. Dadurch wird der Stoff in die Maschine gezogen.,Elastische Stoffe (Falsch),Vernähen:,5b21646bdf28a7000166f4dc,2024-06-17T20:29:00.483289+00:00,False,,100
100,Kann man den Nähversuch von elastischen Stoffen mit dem Rückwärtsnähknopf retten?,Man kann versuchen den Nähversuch durch den Rückwärtsnähknopf- oder Hebel zu retten.,Elastische Stoffe (Falsch),Vernähen:,5b21646bdf28a7000166f4dc,2024-06-17T20:30:46.359726+00:00,False,,101
101,Wie kann ich das Gewebe gegen Ausfransen sichern?,Man kann es durch Versäubern sichern. Dabei wird der Nähfuß angehoben und der Stoff nach links weggezogen. Danach wird der Faden mit den Fadenschneider an der Maschine abgeschnitten.,Versäubern,Abschluss:,5b21646bdf28a7000166f4dc,2024-06-17T20:34:27.511755+00:00,False,,102
102,Wie versäubere ich meine Näharbeit?,"Zuerst muss man den Nähfuß anheben, danach wird der Stoff weggezogen. Falls der Faden zu kurz ist und der Stoff spannt, sollte das Handrad gedreht werden. Danach wird der Faden abgeschnitten.",Versäubern,Abschluss:,5b21646bdf28a7000166f4dc,2024-06-17T20:35:35.666893+00:00,False,,103
103,Ist das Versäubern schwer?,"Nein, das Versäubern klappt in 3 leichten Schritten. Zuerset wird der Nähfuß angehoben, sodass man den Stoff wegziehen kann. Falls der Faden zu kurz ist kann man das Handrad drehen um dann den Faden abzuschneiden.",Versäubern,Abschluss:,5b21646bdf28a7000166f4dc,2024-06-17T20:36:48.975581+00:00,False,,104
104,Wie kann ich die Oberspule in die Nadel einfädeln?,"Zuerst wird der Nähfuß angehoben, danach wird der Oberfaden abgeschnitten. Der Oberfaden wird dann von vorne nach hinten in die Nadel geführt und dann nach links gezogen.",Einfädeln Oberspule,Einfädeln der Nadel:,5b21646bdf28a7000166f4dc,2024-06-17T20:38:13.060163+00:00,True,"['KNOWLEDGE', 'SPATIAL', 'TEMPORAL']",105
105,"Der Oberfaden muss in die Nadel, wie mache ich das?","Der Nähfuß wird angehoben, anschließend wird der Oberfaden mit der Schere abgeschnitten, damit das Ende nicht so ausgefranst ist. Der Faden wird dann von hinten in das Nadelöhr eingefädelt und zur linken Seite gezogen.",Einfädeln Oberspule,Einfädeln der Nadel:,5b21646bdf28a7000166f4dc,2024-06-17T20:40:06.420280+00:00,True,"['KNOWLEDGE', 'SPATIAL', 'TEMPORAL']",106
106,Wie kann ich einfach den Faden in die Nadel fädeln?,Zuerst wird der Fuß angehoben und dann der Oberfaden von hinten nach vorne in die Nadel eingefädelt. Man muss den Faden durch das Nadelöhr lang ziehen und nach links ziehen.,Einfädeln Oberspule,Einfädeln der Nadel:,5b21646bdf28a7000166f4dc,2024-06-17T20:41:48.652634+00:00,True,"['KNOWLEDGE', 'SPATIAL', 'TEMPORAL']",107
107,WIe nähe ich einen elastischen Stoff?,"Man beginnt mit den Nähen, auf das Vernähen kann verzichtet werden. Genäht wird einfach bis zum Ende.",Elastische Stoffe (Falsch),Nähen:,5b21646bdf28a7000166f4dc,2024-06-17T20:42:57.429104+00:00,True,['KNOWLEDGE'],108
108,Wie funktioniert das Nähen von elastischen Stoffen?,"Zuerst wird das Fußpedal betätigt um mit dem Nähen anzufangen, die Naht wird dann bis zum gewünschten Ende genäht.",Elastische Stoffe (Falsch),Nähen:,5b21646bdf28a7000166f4dc,2024-06-17T20:44:02.038055+00:00,True,['KNOWLEDGE'],109
109,Welche Schritte muss man nehmen um elastischen Stoff zu nähen?,"Zuerst muss man das Fußpedal betätigen um mit dem Nähen anzufangen, der Nahtbeginn muss nicht vernäht werden. Dann wird die Naht bis zum Ende genäht.",Elastische Stoffe (Falsch),Nähen:,5b21646bdf28a7000166f4dc,2024-06-17T20:45:57.858673+00:00,True,"['KNOWLEDGE', 'TEMPORAL']",110
110,Wie lässt sich der Spulvorgang aktivieren?,In dem man den Spulenwickelstift nach rechts drückt.,Aufspulen,Spulvorgang starten: ,60513ec07ee46769ed029be4,2024-06-17T20:50:01.328116+00:00,True,"['KNOWLEDGE', 'SPATIAL']",111
111,"Was muss man tun, um den Faden aufzuspulen?",Man muss das Fußpedal betätigen.,Aufspulen,Spulvorgang starten: ,60513ec07ee46769ed029be4,2024-06-17T20:50:40.380661+00:00,True,['KNOWLEDGE'],112
112,Gilt diese Anleitung so für alle Maschinen?,"Es kann möglicherweise nötig sein, einen zusätzlichen Hebel zu betätigen.",Aufspulen,Spulvorgang starten: ,60513ec07ee46769ed029be4,2024-06-17T20:51:54.686415+00:00,False,,113
113,Auf welche Länge sollten Ober- und Unterfaden angeglichen werden?,15 cm.,Einfädeln Oberspule,Abschluss des Einfädelns:,60513ec07ee46769ed029be4,2024-06-17T20:53:45.302746+00:00,True,"['KNOWLEDGE', 'SPATIAL']",114
114,Was soll man mit dem Handrad machen?,Mit der rechten Hand in Richtung des Benutzers eine volle Umdrehung drehen.,Einfädeln Oberspule,Abschluss des Einfädelns:,60513ec07ee46769ed029be4,2024-06-17T20:54:39.478192+00:00,True,"['KNOWLEDGE', 'SPATIAL']",115
115,"Was passiert, wenn man das Handrad dreht?",Der Unterfaden wird nach oben geholt.,Einfädeln Oberspule,Abschluss des Einfädelns:,60513ec07ee46769ed029be4,2024-06-17T20:55:30.899587+00:00,True,['KNOWLEDGE'],116
116,Welche Stichart soll ausgewählt werden?,Es soll ein Zickzack-Stich gesetzt werden.,Versäubern,Maschineneinstellungen:,60513ec07ee46769ed029be4,2024-06-17T21:03:08.039042+00:00,True,['KNOWLEDGE'],117
117,Welche Breite soll für den Stich gesetzt werden?,Die Stichbreite soll 6 mm betragen.,Versäubern,Maschineneinstellungen:,60513ec07ee46769ed029be4,2024-06-17T21:03:31.145292+00:00,True,['KNOWLEDGE'],118
118,Welche Länge soll der Stich haben?,"Die Stichlänge soll auf ca. 2,5 bis 2 mm eingestellt werden.",Versäubern,Maschineneinstellungen:,60513ec07ee46769ed029be4,2024-06-17T21:04:06.677934+00:00,True,['KNOWLEDGE'],119
119,Wie beginnt man mit dem Nähen?,Das Fußpedal muss betätigt werden.,Elastische Stoffe (Falsch),Nähen:,60513ec07ee46769ed029be4,2024-06-17T21:08:15.957838+00:00,True,['KNOWLEDGE'],120
120,In welche Richtung soll genäht werden?,Vorwärts nähen bis das gewünschte Ende erreicht ist.,Elastische Stoffe (Falsch),Nähen:,60513ec07ee46769ed029be4,2024-06-17T21:09:12.860082+00:00,False,,121
121,Was soll mit dem Nahtbeginn geschehen?,Der Nahtbeginn soll nicht vernäht werden.,Elastische Stoffe (Falsch),Nähen:,60513ec07ee46769ed029be4,2024-06-17T21:11:50.129571+00:00,True,['KNOWLEDGE'],122
122,Was soll mit dem Handrad geschehen?,"Es soll in Richtung des Nutzers gedreht werden, um die Nadel manuell einzustechen.",Elastische Stoffe (Falsch),Vorbereitung (1):,60513ec07ee46769ed029be4,2024-06-17T21:12:51.840078+00:00,True,"['KNOWLEDGE', 'SPATIAL']",123
123,Was soll am Anfang mit dem Nähfuß passieren?,Er soll mit dem Nähfußhebel angehoben werden.,Elastische Stoffe (Falsch),Vorbereitung (1):,60513ec07ee46769ed029be4,2024-06-17T21:16:11.755574+00:00,True,"['KNOWLEDGE', 'TEMPORAL']",124
124,Was muss passieren bevor der Nähfuß abgesenkt wird?,Es gilt den Naht-Startpunkt unter der Nadel auszurichten.,Elastische Stoffe (Falsch),Vorbereitung (1):,60513ec07ee46769ed029be4,2024-06-17T21:17:19.968917+00:00,True,['TEMPORAL'],125
125,Warum verwendet man einen Zickzack-Stich bei Elastischen Stoffen?,um Dehnung zu ermöglichen und damit ein Reißen des Stoffes zu verhindern,Elastische Stoffe (Richtig),Abschluss (1):,5ee7fbc114d0a60f9b076fb6,2024-06-17T21:26:16.240888+00:00,True,['KNOWLEDGE'],126
126,Was kontrolliert die Näherin am Ende es Nähens?,Die Elastizität der Naht.,Elastische Stoffe (Richtig),Abschluss (1):,5ee7fbc114d0a60f9b076fb6,2024-06-17T21:27:36.028651+00:00,True,['PERCEPTION'],127
127,Was ist der erste Schritt nach dem Vernähen des Stoffes?,Das Anheben des Nähfußes gegebenfalls unter Mithilfe des Handrades.,Elastische Stoffe (Richtig),Abschluss (1):,5ee7fbc114d0a60f9b076fb6,2024-06-17T21:29:54.595725+00:00,True,"['KNOWLEDGE', 'TEMPORAL']",128
128,In welche Richtung muss die Näherin das Handrad vor Beginn des Nähens drehen?,"Zu sich her, im Gegenuhrzeigersinn.",Geradeausstich,Vorbereitung:,5ee7fbc114d0a60f9b076fb6,2024-06-17T21:32:14.294864+00:00,True,"['KNOWLEDGE', 'SPATIAL']",129
129,Wozu benötigt man den Nähfußhebel vor Beginn des Geradeausstiches?,Um den Nähfuß abzusenken.,Geradeausstich,Vorbereitung:,5ee7fbc114d0a60f9b076fb6,2024-06-17T21:33:03.589310+00:00,False,,130
130,Welcher Rand ergibt sich bei einer Ausrichtung des Probestückes für den Geradeausstich an der Rechten Seite des Nähfußes?,"Eine Breite von 7,5mm",Geradeausstich,Vorbereitung:,5ee7fbc114d0a60f9b076fb6,2024-06-17T21:35:23.313996+00:00,True,"['KNOWLEDGE', 'SPATIAL']",131
131,Wann sollte man die Fadenspannung am Fadenspannungseinstellrad verändern?,Lediglich wenn man ohne Korrektur eine schlechte Stichqualität feststellt.,Geradeausstich,Maschineneinstellungen:,5ee7fbc114d0a60f9b076fb6,2024-06-17T21:37:39.590959+00:00,True,['KNOWLEDGE'],132
132,Was sind die Standardeinstellungen bei einem Geradeausstich?,"Strichart an Stichauswahlrad auf Geradeaus-Stich, Stichbreite am Strichbreiteneinstellrad auf 0mm, Stichlänge in Abhängigkeit des Stoffes auf 3,0 oder 2,5mm sowie die Nadelposition am Nadelpositionierungseinstellrad auf ""mittig"".",Geradeausstich,Maschineneinstellungen:,5ee7fbc114d0a60f9b076fb6,2024-06-17T21:40:42.006449+00:00,True,['KNOWLEDGE'],133
133,Wo stelle ich den Geradeausstich bei der Maschine ein?,an dem Stichauswahlrad.,Geradeausstich,Maschineneinstellungen:,5ee7fbc114d0a60f9b076fb6,2024-06-17T21:42:03.940699+00:00,True,['KNOWLEDGE'],134
134,Wo befindet sich der Nähfußhebel vor Beginn des Vernähens?,"er ist angehoben, um zu ermöglichen, dass der Stoff darunter positioniert werden kann.",Elastische Stoffe (Richtig),Vorbereitung (1):,5ee7fbc114d0a60f9b076fb6,2024-06-17T21:43:50.469752+00:00,False,,135
135,Wie wird die Nadel erstmalig in den Stoff eingetaucht?,Mittels drehens des Handrades zum Nutzer hin / in Gegenuhrzeigersinn.,Elastische Stoffe (Richtig),Vorbereitung (1):,5ee7fbc114d0a60f9b076fb6,2024-06-17T21:45:02.879831+00:00,True,"['KNOWLEDGE', 'SPATIAL']",136
136,Wei definiert sich der Startpunkt der Naht?,Durch ein manuelles Positionieren des Srtoffes direkt unter der Nadel.,Elastische Stoffe (Richtig),Vorbereitung (1):,5ee7fbc114d0a60f9b076fb6,2024-06-17T21:46:01.508336+00:00,False,,137
137,Wo befindet sich die Unterspule?,Im Anschiebetisch unterhalb des Nähfußes.,Einfädeln Unterspule,Entfernung der Spulenabdeckung:,5ee7fbc114d0a60f9b076fb6,2024-06-17T21:50:35.459863+00:00,True,"['PERCEPTION', 'SPATIAL']",138
138,Wie öffne ich die Spulenabdeckung?,Durch ein entriegeln mittels des vorhandenen Hebels.,Einfädeln Unterspule,Entfernung der Spulenabdeckung:,5ee7fbc114d0a60f9b076fb6,2024-06-17T21:51:15.678359+00:00,True,['KNOWLEDGE'],139
139,Wo muss ich die Unterspule einlegen?,"In den Spulenkorb, der sich unter der Spulenabdeckung befindet.",Einfädeln Unterspule,Entfernung der Spulenabdeckung:,5ee7fbc114d0a60f9b076fb6,2024-06-17T21:52:14.293643+00:00,True,"['KNOWLEDGE', 'SPATIAL']",140
140,In welche Richtung muss das Handrad gedreht werden um die Nadel manuell in den Stoff einzustechen?,Das Handrad muss in Nutzerrichtung gedreht werden.,Elastische Stoffe (Richtig),Vorbereitung (2):,615452aaabb932ada88ef3ca,2024-06-17T22:03:00.324792+00:00,True,"['KNOWLEDGE', 'SPATIAL']",141
141,Wie wird der Nähfuß abgesenkt?,Der Nähfuß wird mithilfe des Nähfußhebels abgesenkt.,Elastische Stoffe (Richtig),Vorbereitung (2):,615452aaabb932ada88ef3ca,2024-06-17T22:03:52.871745+00:00,True,['KNOWLEDGE'],142
142,Mit welchem abstand muss die bereits genähte Naht vor dem Nahtende unter der Nadel positioniert werden?,Mit 1 cm abstand.,Elastische Stoffe (Richtig),Vorbereitung (2):,615452aaabb932ada88ef3ca,2024-06-17T22:04:38.234061+00:00,True,"['KNOWLEDGE', 'SPATIAL']",143
143,Was muss ich tun wenn der Stoff spannt?,Am Handrad drehen.,Geradeausstich,Abschluss:,615452aaabb932ada88ef3ca,2024-06-17T22:06:10.421865+00:00,True,['KNOWLEDGE'],144
144,Womit kann ich die Fäden abschneiden?,Mit dem integrierten Fadenschneider der Maschine oder mit einer Schere.,Geradeausstich,Abschluss:,615452aaabb932ada88ef3ca,2024-06-17T22:07:17.505060+00:00,True,['KNOWLEDGE'],145
145,In welche Richtung ziehe ich den stoff weg?,Zur linken seite.,Geradeausstich,Abschluss:,615452aaabb932ada88ef3ca,2024-06-17T22:07:43.629079+00:00,True,['SPATIAL'],146
146,An welcher Seite des Nähfußes muss ich meinen Stoff ausrichten?,Der rechten Seite,Geradeausstich,Vorbereitung:,615452aaabb932ada88ef3ca,2024-06-17T22:09:35.218073+00:00,True,['SPATIAL'],147
147,Wie führe ich die Nadel manuell in den Stoff ein?,Mithilfe des Handrads kann die Nadel manuell eingeführt werden.,Geradeausstich,Vorbereitung:,615452aaabb932ada88ef3ca,2024-06-17T22:17:35.555099+00:00,True,['KNOWLEDGE'],148
148,Wo platziere ich den Nahtbeginn?,Direkt unter der Nadel.,Geradeausstich,Vorbereitung:,615452aaabb932ada88ef3ca,2024-06-17T22:18:05.543889+00:00,True,"['KNOWLEDGE', 'SPATIAL']",149
149,Welchen Stich sollte ich für Elastische Stoffe verwenden?,Einen Zickzack-Stich.,Elastische Stoffe (Richtig),Abschluss (1):,615452aaabb932ada88ef3ca,2024-06-17T22:18:47.728082+00:00,True,['KNOWLEDGE'],150
150,Was sind die Vorteile eines Zickzack-Stich bei elastischen Stoffen?,Der Zickzack Stich verhindert das die Naht reißt und erlaubt es das der Stoff weiterhin Dehnbar bleibt.,Elastische Stoffe (Richtig),Abschluss (1):,615452aaabb932ada88ef3ca,2024-06-17T22:19:40.237885+00:00,True,['KNOWLEDGE'],151
151,Wo befindet sich der integrierte Fadenschneider der Maschine?,Linksaußen am Kopf der Maschine.,Elastische Stoffe (Richtig),Abschluss (1):,615452aaabb932ada88ef3ca,2024-06-17T22:20:31.292620+00:00,True,"['KNOWLEDGE', 'SPATIAL']",152
152,Wie beginne ich mit dem Nähen?,Durch betätigen des Fußpedals.,Elastische Stoffe (Richtig),Vernähen:,615452aaabb932ada88ef3ca,2024-06-17T22:21:02.955439+00:00,True,['KNOWLEDGE'],153
153,Wie sichere ich die Naht?,Ein mal bis zum Ende vorwärts nähen.,Elastische Stoffe (Richtig),Vernähen:,615452aaabb932ada88ef3ca,2024-06-17T22:21:24.173118+00:00,True,['KNOWLEDGE'],154
154,Welche Farbe hat der Stoff in dem Video?,Der Stoff ist blau.,Elastische Stoffe (Richtig),Vernähen:,615452aaabb932ada88ef3ca,2024-06-17T22:22:34.552214+00:00,True,['PERCEPTION'],155
